                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.70454,                0.52363,                0.96698,                0.86315,                0.71596,                0.78482,                0.51558,                 1.2443,                0.83673,                 1.2599,             0.00045285,             0.00045285,             0.00045285
                     71,                0.70587,                0.51841,                0.97719,                0.76426,                0.74653,                0.78216,                0.53258,                 1.2175,                  0.851,                 1.2495,              0.0004387,              0.0004387,              0.0004387
                     72,                0.68172,                 0.5105,                0.96415,                0.79498,                0.76406,                0.79094,                0.52997,                  1.233,                0.82673,                 1.2414,             0.00042456,             0.00042456,             0.00042456
                     73,                0.68757,                0.52029,                0.95994,                0.81469,                0.77762,                0.79563,                0.52574,                 1.2144,                0.86128,                 1.2323,             0.00041041,             0.00041041,             0.00041041
                     74,                0.68209,                0.51144,                0.96379,                0.79932,                   0.75,                0.78175,                0.52602,                 1.2115,                0.85275,                 1.2219,             0.00039626,             0.00039626,             0.00039626
                     75,                0.70584,                0.51194,                0.95901,                 0.7892,                0.74245,                0.78976,                0.53091,                 1.2057,                0.82247,                 1.2441,             0.00038211,             0.00038211,             0.00038211
                     76,                0.67238,                0.50147,                0.95444,                0.84772,                0.72663,                0.80668,                0.53538,                 1.2268,                0.83553,                 1.2785,             0.00036797,             0.00036797,             0.00036797
                     77,                0.65922,                0.49633,                0.95733,                0.82842,                0.72647,                0.80283,                 0.5263,                 1.2404,                0.83113,                 1.2711,             0.00035382,             0.00035382,             0.00035382
                     78,                0.68139,                0.49899,                 0.9559,                0.83121,                 0.7381,                0.81228,                0.52185,                 1.2693,                0.84052,                 1.3026,             0.00033967,             0.00033967,             0.00033967
                     79,                0.66745,                0.49676,                0.95321,                 0.7903,                0.76854,                0.80228,                0.53632,                 1.2338,                0.81249,                 1.2671,             0.00032553,             0.00032553,             0.00032553
                     80,                0.63558,                0.48339,                0.94196,                0.83108,                0.71921,                 0.7898,                0.53265,                 1.1949,                0.82139,                 1.2515,             0.00031138,             0.00031138,             0.00031138
                     81,                0.64675,                0.47958,                0.94445,                0.80307,                0.78037,                 0.8002,                0.53602,                 1.2263,                0.85018,                  1.273,             0.00029723,             0.00029723,             0.00029723
                     82,                0.64396,                0.48329,                0.95631,                0.78155,                0.80821,                0.80414,                0.52765,                 1.2421,                0.85863,                  1.298,             0.00028308,             0.00028308,             0.00028308
                     83,                0.64603,                0.46322,                0.93912,                0.82156,                0.70809,                 0.7865,                0.52244,                 1.2336,                0.85927,                 1.2854,             0.00026894,             0.00026894,             0.00026894
                     84,                0.64119,                 0.4776,                0.94424,                0.81835,                0.75733,                0.81081,                0.53657,                 1.2025,                0.80774,                 1.2613,             0.00025479,             0.00025479,             0.00025479
                     85,                0.65292,                0.48332,                0.94784,                0.79176,                0.78684,                0.80962,                0.53373,                 1.2132,                0.82578,                 1.2641,             0.00024064,             0.00024064,             0.00024064
                     86,                0.64419,                0.47373,                0.94238,                0.81983,                0.76322,                0.80721,                0.52794,                 1.2375,                0.82283,                 1.2881,              0.0002265,              0.0002265,              0.0002265
                     87,                0.63454,                 0.4682,                0.94554,                0.82234,                0.75002,                0.79918,                0.51703,                 1.2464,                0.83742,                 1.2688,             0.00021235,             0.00021235,             0.00021235
